mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment,cell_id,cell_mito_count,cell_total_mito_area_(pixels_squared),cell_network_orientation_(degrees),cell_network_major_axis_(pixels),cell_network_minor_axis_(pixels),cell_network_eccentricity,cell_network_effective_extent,cell_network_effective_solidity,cell_network_fractal_dimension,cell_type
217,600,2.7649769585253456,838,280,0.3341288782816229,-129.965539137794,3136,0.0691964285714285,HFF,FCCP,HFF_FCCP_A1_N6_3,4,22.0,3.4999771191322484,34.52906983544819,20.7235455102589,0.7998673940372549,0.029810298102981,0.0398009950248756,0.8237137148191573,fibroblast
310,890,2.870967741935484,948,313,0.330168776371308,-133.01222933315452,4538,0.0683120317320405,HFF,FCCP,HFF_FCCP_A1_N6_1,2,21.0,-82.37142580473383,41.69670052971334,27.130863651686862,0.7593591502337749,0.0181818181818181,0.024,0.7173287283056096,fibroblast
783,9360,11.954022988505749,720,372,0.5166666666666667,-193.19765171989405,5205,0.1504322766570605,HFF,control,HFF_control_A2_N8_3,12,146.75,56.50797376946511,43.672482783846895,31.601236482194807,0.6902236895684399,0.1019097222222222,0.1372457329904138,1.080033497185068,fibroblast
758,7363,9.713720316622693,621,369,0.5942028985507246,-171.83553806158673,3536,0.214366515837104,HFF,control,HFF_control_A2_N8_7,13,140.0,9.977349972779578,51.35402339748306,23.821921078133784,0.8858999136455639,0.0987480162228884,0.1543975737524124,0.9768321777634712,fibroblast
2248,27697,12.320729537366548,821,1259,1.533495736906212,-128.1495947185201,10482,0.2144628887616867,HFF,control,HFF_control_A2_N8_6,28,413.5,-25.15342222574124,73.30613683721691,46.28407099141113,0.77547312441238,0.1160864682762492,0.1570899420647734,1.0161603974526563,fibroblast
534,4341,8.129213483146067,535,412,0.7700934579439253,-144.93751579398156,2054,0.2599805258033106,HFF,control,HFF_control_A2_N8_8,8,112.75,-42.40171117160232,35.3494881751101,18.23293324177251,0.8567146962537082,0.1439974457215836,0.2234886025768087,0.9477046115656416,fibroblast
1013,14238,14.055281342546891,739,425,0.5751014884979703,-196.5667288664936,5761,0.1758375282069085,HFF,control,HFF_control_A2_N8_12,16,203.5,59.77735890660996,45.94803272767756,38.8459661518076,0.534082079973581,0.0912147019273868,0.1537299338999055,1.0096918437247293,fibroblast
1166,18011,15.446826758147512,435,468,1.0758620689655172,-163.8533017702559,4919,0.2370400487904045,HFF,control,HFF_control_A2_N8_9,6,246.75,44.580289564162086,47.44842470696199,29.88106193730896,0.7767907582956968,0.1450617283950617,0.2266360505166475,1.0985653477621748,fibroblast
2213,36134,16.32806145503841,475,964,2.0294736842105263,-128.2341849704755,7062,0.3133673180402152,HFF,control,HFF_control_A2_N8_10,13,507.75,-23.98431134331297,110.57254380298068,21.667133954796142,0.980613085694772,0.0962833033089978,0.2952893282931084,1.1523620551360907,fibroblast
845,14667,17.357396449704144,445,779,1.750561797752809,-141.086040551382,2948,0.2866350067842605,HFF,control,HFF_control_A2_N8_11,3,188.0,-37.09469806848559,55.65276195287609,18.447579782434715,0.9434634944014524,0.0951898734177215,0.2439182614336685,1.1573496725413264,fibroblast
2014,14245,7.072989076464747,1474,1408,0.9552238805970148,-123.1287016456149,9280,0.2170258620689655,HFF,control,HFF_control_A2_N2_3,20,403.75,50.543865668418704,87.53966475154147,33.5492781586385,0.9236460631188091,0.0844400292795148,0.1820333633904418,0.9851069674559552,fibroblast
2045,26010,12.71882640586797,1240,2067,1.6669354838709678,-124.97392791631124,11812,0.1731290213342363,HFF,control,HFF_control_A2_N2_4,5,444.0,42.78214408659903,95.17121464891764,38.27705903329476,0.9155555423931968,0.0749367088607594,0.1620733710531118,1.0652246992333434,fibroblast
594,4621,7.779461279461279,470,405,0.8617021276595744,-135.320462224969,2630,0.2258555133079847,HFF,control,HFF_control_A2_N2_2,7,132.0,70.97351888705906,33.87876418791948,19.730157910331883,0.8129199995227128,0.1676722769133058,0.2565597667638484,1.050461881514954,fibroblast
9944,132670,13.341713596138376,2202,4543,2.063124432334241,-114.80044726348368,35835,0.2774940700432538,HFF,control,HFF_control_A2_N5_2,42,2170.0,10.88492890419286,186.1222230167888,65.60481455836766,0.9358184291452528,0.1473559120617944,0.25,1.1260625294438038,fibroblast
648,4493,6.933641975308642,945,749,0.7925925925925926,-133.38311613670612,3388,0.1912632821723731,HFF,control,HFF_control_A2_N5_3,7,126.0,40.06383158873594,43.32349452293607,24.916284373486,0.818067822611933,0.0903873744619799,0.1555075593952483,0.9714781984611424,fibroblast
930,12580,13.526881720430108,680,593,0.8720588235294118,-168.60700661169273,6107,0.1522842639593908,HFF,control,HFF_control_A2_N5_5,9,190.25,-0.0040909812299003,120.01463924466742,17.779110123852202,0.988966223468374,0.075197628458498,0.121352256418434,1.0848169529999672,fibroblast
1121,5605,5.0,657,351,0.5342465753424658,-137.53464600834997,7733,0.1449631449631449,HFF,control,HFF_control_A2_N5_4,17,162.0,-84.76412765063976,86.36549463809175,33.0439825837443,0.9239114768956423,0.0469565217391304,0.0799112097669256,0.7930212348236899,fibroblast
683,6245,9.143484626647146,714,345,0.4831932773109244,-180.83337666027245,3168,0.2155934343434343,HFF,control,HFF_control_A2_N4_9,9,134.0,61.09487670418051,51.09303683338186,22.4517582129498,0.8982773628018902,0.0860353130016051,0.1586268126664693,0.971914921100507,fibroblast
3899,64087,16.436778661195177,1872,2316,1.2371794871794872,-159.08126548079392,19897,0.1959591898276122,HFF,control,HFF_control_A2_N4_11,33,795.5,77.24318759114644,127.31470934468338,78.54453829962827,0.7870163360538377,0.0748265726043503,0.1139970623007201,1.087093003749338,fibroblast
956,9862,10.315899581589958,528,323,0.6117424242424242,-173.74551432430093,6143,0.1556242878072603,HFF,control,HFF_control_A2_N4_3,15,161.75,-30.92910247897902,71.92870575576403,22.09820983309105,0.9516372947710782,0.0585573355054756,0.1316914308976185,0.9564932239996524,fibroblast
756,10132,13.402116402116402,698,757,1.0845272206303724,-154.62751178241783,5270,0.1434535104364326,HFF,control,HFF_control_A2_N4_10,7,156.75,-42.30605847429676,67.10701577716424,26.599914565559903,0.9180863109924512,0.05234596760728,0.1268973891924711,1.0664304981696229,fibroblast
401,3062,7.635910224438903,410,560,1.3658536585365857,-105.84657528013344,1948,0.2058521560574948,HFF,control,HFF_control_A2_N4_5,9,64.5,-5.132608151888796,27.9971642641337,18.228114679385484,0.7590176620414247,0.1191135734072022,0.1640178003814367,0.9421633643754882,fibroblast
606,7106,11.726072607260726,376,203,0.5398936170212766,-189.3091742238756,2287,0.264975951027547,HFF,control,HFF_control_A2_N3_4,6,139.5,-26.353203893400803,45.55102506447142,14.822381100106174,0.9455758732660584,0.129979035639413,0.266857962697274,1.0882102817343262,fibroblast
783,9390,11.99233716475096,528,414,0.7840909090909091,-167.74113844468584,3630,0.2157024793388429,HFF,control,HFF_control_A2_N3_2,14,164.25,24.102534821437985,52.31871580715242,22.248159810833723,0.9050792885947576,0.1170705630791161,0.1829573934837092,0.9888286026044816,fibroblast
