Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,cell_id,cell_type,cell_line,treatment,experiment
-0.09053453344684158,-0.03895225453851209,-0.05551331137596712,0.029777559237318806,0.028539594701035384,-0.005413523477683583,-0.0014634675187039942,0.006268975979926629,0.032597860787451485,0.011966751141439472,HFF_FCCP_A1_N6_2,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684126,-0.04053080623387981,-0.04834448455626398,0.023315758346055242,0.031662967527135925,-0.008212162502674245,-0.009160244856509372,0.005651072566345228,0.03041058279294818,0.010607155320744945,HFF_FCCP_A1_N6_3,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684154,-0.03992135053339304,-0.04450333584984723,0.028692434227733363,0.01704787948152868,-0.0007517710950580263,0.00805794251426389,-0.0029427645633023697,0.0316252209067937,0.004296721118317922,HFF_FCCP_A1_N6_1,fibroblast,HFF,FCCP,Lifetime
-0.09053453344684204,0.03695570945187471,0.03631628147261796,0.018141859244894348,0.014310396291568227,0.009454497551516531,-0.014440158686391874,0.05127382606594582,0.017062438762408497,0.020994744761564665,HFF_control_A2_N8_3,fibroblast,HFF,control,Lifetime
-0.09053453344684216,0.05654125703370522,0.019318309280455432,-0.010172328405093705,0.050458593912092994,0.016183534582780386,0.025714404753793937,-0.021173609829212642,-0.006181204167650199,-0.0013253921291988152,HFF_control_A2_N8_7,fibroblast,HFF,control,Lifetime
-0.09053453344684208,-0.0009284000311066266,0.009812595639091528,0.054142468896550305,-0.05348994548538124,0.003951617941098941,-0.0017715149555857694,-0.07822968000866246,-0.01697332638547003,0.010565907229442407,HFF_control_A2_N8_6,fibroblast,HFF,control,Lifetime
-0.09053453344684191,0.04908784054639087,0.00790232441508501,0.014014122676026699,0.008971078546239901,-0.021721296637857098,0.0016754810516301654,0.0021910292053614043,-0.015541356655447591,-0.02226874732758015,HFF_control_A2_N8_8,fibroblast,HFF,control,Lifetime
-0.09053453344684215,0.028090791325465703,0.04074781265731115,0.03788520535198026,-0.011959329761682994,-0.001006277575150671,-0.02654643459964943,0.05536985389617158,0.025389697878103423,0.024905895726707625,HFF_control_A2_N8_12,fibroblast,HFF,control,Lifetime
-0.09053453344684194,0.05372364258843339,0.022386945493178472,0.008111122403212438,0.0256409417845469,-0.004298058018664873,0.0071847510952718205,0.01570639189721173,0.0039185560314642055,-0.018224349665904464,HFF_control_A2_N8_9,fibroblast,HFF,control,Lifetime
-0.09053453344684215,0.04760462094639178,-0.024729952409190552,-0.044624663907298676,-0.033142177969542344,-0.045435841003862956,0.011003205976503097,0.011081989000115214,0.010450818081338995,-0.006111134824090768,HFF_control_A2_N8_10,fibroblast,HFF,control,Lifetime
-0.09053453344684204,0.04907928699858165,-0.017309740257883302,-0.03439449056611279,-0.02650616778767272,-0.04249634632243815,0.011061960828264437,0.009066138485922862,0.006973100430999422,-0.00664232100641111,HFF_control_A2_N8_11,fibroblast,HFF,control,Lifetime
-0.09053453344684136,-0.043935903340410906,-0.04395891388235306,0.022122092189873092,0.03757601137666303,-0.015253550161352127,-0.011812698999856517,0.004641407748822498,0.040769758444245206,0.013033147201291654,HFF_control_A2_N2_3,fibroblast,HFF,control,Lifetime
-0.09053453344684172,-0.01133155735792487,-0.02996084268177296,0.018169505651606153,-0.025249689003670348,0.006394714235246006,0.014470535263378952,-0.03189626428273869,-0.019943741194462555,-0.022854658064772288,HFF_control_A2_N2_4,fibroblast,HFF,control,Lifetime
-0.09053453344684197,0.049214754228176116,0.015538010510455913,0.017147010090409892,0.01853133373072785,-0.012375744582396465,0.0006035570844962188,0.009078058424618236,-0.010758212889528551,-0.018695838756755394,HFF_control_A2_N2_2,fibroblast,HFF,control,Lifetime
-0.0905345334468413,-0.03464555210047838,0.022890517494492085,0.015468640639496387,-0.044230206774410676,0.026084188924436712,0.04955381310560615,-0.011184624956752782,0.010179050787855299,0.0006336615631357737,HFF_control_A2_N5_2,fibroblast,HFF,control,Lifetime
-0.0905345334468413,0.029394671430889148,-0.026035114290345673,0.011745366120297938,0.014874092286529545,-0.017829088834264532,0.009540025265081334,0.009410087196153475,-0.04282312469244508,0.003899837196101903,HFF_control_A2_N5_3,fibroblast,HFF,control,Lifetime
-0.090534533446842,0.03128539068226409,-0.018665862244692678,-0.058327149659578394,-0.02302081582288967,0.027267307009750656,-0.029345976950527677,-0.013191090031936964,0.027258003496493304,0.022148457196659165,HFF_control_A2_N5_5,fibroblast,HFF,control,Lifetime
-0.09053453344684134,-0.03493089542089675,-0.04262623117837454,0.019100251231746905,0.004884520238235236,0.017545990322181786,0.011075696280505169,0.00574171919365486,0.017084943173599598,-0.009544663212572116,HFF_control_A2_N5_4,fibroblast,HFF,control,Lifetime
-0.09053453344684147,0.04742027564146773,0.015348142324004744,-0.017993313863683698,0.04992098496540712,0.02539920525055662,0.014371073582487218,-0.03170009082664094,-0.004776864829879865,0.03948851582049849,HFF_control_A2_N4_9,fibroblast,HFF,control,Lifetime
-0.09053453344684181,-0.04515643396456876,0.0350289459877787,-0.0025917453451476504,-0.028492576799171256,0.017327326677488618,0.04932953565307141,0.027234129077122464,0.0024852896579805484,0.012479268734407136,HFF_control_A2_N4_11,fibroblast,HFF,control,Lifetime
-0.09053453344684186,0.02399202218055307,-0.010737336688593892,-0.03939843170141422,-0.01455346127849448,0.05138655008145195,-0.030357040083487666,-0.004906674461557618,0.015547829895585659,-0.007688472971957397,HFF_control_A2_N4_3,fibroblast,HFF,control,Lifetime
-0.09053453344684234,0.032835646779686326,-0.029189723211201828,-0.04607212980833685,-0.04123050011533652,-0.013042673341710326,-0.005785496098064232,0.004547753142929231,0.014052487121179257,-0.012031359069585666,HFF_control_A2_N4_10,fibroblast,HFF,control,Lifetime
-0.09053453344684226,0.030984037082059036,-0.026485784954497042,0.014393401859282598,-0.009527077990594091,-0.03047621649454091,0.006168273308425906,0.005253504182336052,-0.04516835482819626,-0.008554850540278979,HFF_control_A2_N4_5,fibroblast,HFF,control,Lifetime
