file_name,mito_area,mito_intensity_sum,mito_intensity_avg,nuclei_area,nuclei_intensity_sum,nuclei_intensity_avg,Delta Psi 1,cell_area,mito_content,cell_line,treatment
A1_N2_MitoI_67.tiff,445,7456,16.75505617977528,322,1684,5.229813664596273,-71.60595213389138,1132,0.3931095406360424,A549,FCCP
A1_N2_MitoI_64.tiff,232,18215,78.51293103448276,366,4443,12.139344262295081,-114.80891144687143,1005,0.2308457711442786,A549,FCCP
A1_N2_MitoI_74.tiff,257,4107,15.980544747081712,196,1117,5.698979591836735,-63.41172068719331,664,0.3870481927710843,A549,FCCP
A1_N2_MitoI_20.tiff,566,26067,46.0547703180212,514,4558,8.867704280155642,-101.3160472816506,1639,0.34533251982916413,A549,FCCP
A1_N2_MitoI_24.tiff,315,9162,29.085714285714285,403,2277,5.650124069478908,-100.77203233749587,1076,0.29275092936802977,A549,FCCP
A1_N2_MitoI_3.tiff,1127,18421,16.345164152617567,284,2467,8.68661971830986,-38.87711459177383,1703,0.6617733411626542,A549,FCCP
A1_N2_MitoI_55.tiff,431,6670,15.475638051044083,333,1563,4.693693693693693,-73.37240331444066,1063,0.40545625587958606,A549,FCCP
A1_N2_MitoI_44.tiff,381,6033,15.834645669291339,274,1614,5.890510948905109,-60.814739993642576,960,0.396875,A549,FCCP
A1_N2_MitoI_11.tiff,356,13747,38.61516853932584,412,2988,7.252427184466019,-102.8470016375468,1198,0.29716193656093487,A549,FCCP
A1_N2_MitoI_58.tiff,233,7526,32.30042918454936,644,3876,6.0186335403726705,-103.33354664690481,1444,0.16135734072022162,A549,FCCP
A1_N2_MitoI_45.tiff,277,3519,12.703971119133573,358,1300,3.631284916201117,-77.01817655624711,753,0.36786188579017265,A549,FCCP
A1_N2_MitoI_48.tiff,318,11674,36.710691823899374,338,2053,6.07396449704142,-110.64197606903015,1065,0.29859154929577464,A549,FCCP
A1_N2_MitoI_65.tiff,241,12748,52.89626556016597,776,3996,5.149484536082475,-143.26032153137282,2089,0.11536620392532312,A549,FCCP
A1_N2_MitoI_5.tiff,416,5896,14.173076923076923,319,1432,4.4890282131661445,-70.70703762563802,1112,0.37410071942446044,A549,FCCP
A1_N2_MitoI_56.tiff,124,10879,87.73387096774194,357,5018,14.056022408963585,-112.62231126066301,1180,0.10508474576271186,A549,FCCP
A1_N2_MitoI_54.tiff,575,8887,15.455652173913043,284,1748,6.154929577464789,-56.624369475541265,1145,0.5021834061135371,A549,FCCP
A1_N2_MitoI_25.tiff,266,6379,23.981203007518797,183,1413,7.721311475409836,-69.69709426545471,862,0.308584686774942,A549,FCCP
A1_N2_MitoI_51.tiff,181,9370,51.767955801104975,484,3334,6.8884297520661155,-124.04108352341086,968,0.18698347107438015,A549,FCCP
A1_N2_MitoI_13.tiff,338,5059,14.967455621301776,234,1182,5.051282051282051,-66.80352237633538,766,0.4412532637075718,A549,FCCP
A1_N2_MitoI_50.tiff,374,7508,20.074866310160427,302,2165,7.16887417218543,-63.327778599654046,858,0.4358974358974359,A549,FCCP
A1_N2_MitoI_29.tiff,247,7577,30.676113360323885,228,1439,6.31140350877193,-97.23926175328386,896,0.27566964285714285,A549,FCCP
A1_N2_MitoI_57.tiff,251,4903,19.53386454183267,405,2538,6.266666666666667,-69.91965881312682,877,0.2862029646522235,A549,FCCP
A1_N2_MitoI_71.tiff,531,7083,13.338983050847459,362,1629,4.5,-66.8267245757277,1158,0.4585492227979275,A549,FCCP
A1_N2_MitoI_46.tiff,788,48271,61.25761421319797,638,5213,8.170846394984325,-123.89271271854487,3592,0.21937639198218262,A549,FCCP
A1_N2_MitoI_73.tiff,132,9102,68.95454545454545,216,3467,16.050925925925927,-89.64738076134552,1033,0.12778315585672798,A549,FCCP
A1_N2_MitoI_16.tiff,242,7149,29.541322314049587,265,1957,7.384905660377359,-85.26064173931915,852,0.284037558685446,A549,FCCP
A1_N2_MitoI_40.tiff,224,3222,14.383928571428571,202,862,4.267326732673268,-74.73012222509257,661,0.3388804841149773,A549,FCCP
A1_N2_MitoI_59.tiff,565,8903,15.757522123893805,248,1483,5.979838709677419,-59.58884140293824,1339,0.42195668409260645,A549,FCCP
A1_N2_MitoI_30.tiff,371,6991,18.84366576819407,344,1493,4.340116279069767,-90.29895454993363,1229,0.3018714401952807,A549,FCCP
