na2,na1,nt2,ftm,cell_type,fa2,fa1,ft1,nt1,ntm,ft2,base_name,treatment,cell_line,normrr
22.74992245,77.25007754,2242.829171,1248.037362,epithelial,20.97989871,79.02010127,772.799727,443.5527153,840.2374616,3196.367404,A549_cntrl_06_227,control,A549,0.836359582
21.80348309,78.19651692,2289.727713,1237.967567,epithelial,21.60199092,78.39800903,757.309038,448.5367378,836.1343156,3076.906671,A549_cntrl_06_5,control,A549,0.836409653
22.82305447,77.1769455,2268.935806,1233.328415,epithelial,20.83682546,79.16317461,762.8790794,428.3420427,836.3156464,3131.520219,A549_cntrl_05_16,control,A549,0.836714441
23.10501425,76.89498575,2217.323949,1257.215618,epithelial,20.36246525,79.6375348,804.3842096,442.1619494,841.2468267,3118.040232,A549_cntrl_02_184,control,A549,0.836794415
22.42108464,77.57891543,2160.83067,1211.754255,epithelial,19.90787517,80.09212474,795.2139807,426.2159178,805.8165541,2950.035642,A549_cntrl_02_126,control,A549,0.837112621
22.2811684,77.71883161,2240.697887,1186.038572,epithelial,19.54470302,80.45529685,792.9775576,447.9046593,836.9357585,2868.78472,A549_cntrl_05_226,control,A549,0.837249928
22.68741665,77.31258333,2241.041611,1197.519649,epithelial,20.81708506,79.18291507,767.1183612,447.6687081,842.5526196,2957.001053,A549_cntrl_06_83,control,A549,0.837331697
22.28699711,77.71300293,2201.208911,1214.057953,epithelial,20.48014505,79.51985491,740.9285129,437.4394408,818.1986284,3163.317113,A549_cntrl_05_70,control,A549,0.837446524
22.24546,77.7545399,2249.064146,1236.791005,epithelial,20.82158214,79.17841786,762.9782413,443.7484851,830.6955153,3130.758628,A549_cntrl_06_9,control,A549,0.837633189
20.91870232,79.08129765,2229.800372,1185.53828,epithelial,19.39909393,80.60090611,784.3729804,469.8922583,829.7955186,2926.980163,A549_cntrl_04_175,control,A549,0.837637316
21.64343766,78.35656238,2272.450546,1170.417224,epithelial,19.2611266,80.73887349,790.3004854,458.4360169,842.8992224,2830.690817,A549_cntrl_04_58,control,A549,0.837710177
21.62968362,78.37031629,2235.574753,1224.597264,epithelial,20.52774923,79.47225081,790.1565304,432.6931218,808.4134656,3166.869339,A549_cntrl_03_250,control,A549,0.837880698
21.6942203,78.30577974,2281.604956,1257.619244,epithelial,21.08069841,78.91930139,781.9130606,444.7524284,830.8232151,3199.089534,A549_cntrl_06_19,control,A549,0.838020764
22.60554425,77.39445573,2223.216937,1167.515439,epithelial,19.75649465,80.24350543,756.2606132,441.2024414,832.875839,2914.785419,A549_cntrl_05_202,control,A549,0.838026926
21.25447175,78.74552827,2337.026348,1194.012904,epithelial,19.59718332,80.40281669,798.7382338,451.4876322,841.6539221,2888.598149,A549_cntrl_04_113,control,A549,0.838283844
21.77318124,78.22681885,2217.308452,1240.936468,epithelial,20.35767447,79.64232548,778.7713987,441.0103822,815.2929684,3195.052478,A549_cntrl_02_102,control,A549,0.838352576
